STYLE NUMBER,SEASON,season_id,FINAL SUPPLIER PRODUCTION,ON FLOOR MONTH,month_id,season_factor,season_name,season_year,SHIP METHOD US RETAIL,SHIP METHOD US WHOLESALE,SQUAD,FABRIC TYPE,CATEGORY,FINAL FABRIC,MAIN FABRIC COMPOSITION,COO,FOB US,FOB EU,US LANDED,EU LANDED,US RETAIL FOR MKUP,EU RETAIL FOR MKUP,EU RETAIL...19,US RETAIL,US WHOLESALE,US ATS,EU RETAIL...23,EU CONCESSIONS,EU WHOLESALE,EU ATS,UK RETAIL,UK CONCESSIONS,UK WHOLESALE,UK ATS,TOTAL,TOTAL LANDED US,TOTAL LANDED EU,TOTAL LANDED UK,TOTAL RETAIL US,TOTAL RETAIL EU,TOTAL RETAIL UK,TOTAL CUSTO $,TOTAL VERBA $
321303,SS24,1,ECICO,APRIL,4,SS24,SS,24,SEA,AIR,CORE TECIDO,ARTESANAL,DRESSES,PAPER COTTON,100% COTTON,CHINA,53,50.349999999999994,62.427,59.18359999999999,345,325,NA,144,4,0,16,0,0,0,18,10,0,0,192,9251.196,946.9375999999999,1657.1407999999997,51060,6240,10920,12282.416712,67771.5
327199,SS24,1,ECICO,APRIL,4,SS24,SS,24,SEA,AIR,CORE TECIDO,ARTESANAL,DRESSES,MONSTERA EYELET,100% COTTON,CHINA,37.5,35.25,44.4625,42.98,285,266.6666666666667,NA,240,25,0,26,47,38,0,30,0,0,0,406,11845.0625,4770.78,1289.3999999999999,75525,35520,9600,18466.8121,116997
318362,SS24,1,ECICO,MARCH,3,SS24,SS,24,AIR,AIR,CORE TECIDO,ARTESANAL,DRESSES,LINEN VISCOSE,55% LINEN 45% VISCOSE,CHINA,47.5,44.65,58.34,54.007999999999996,360,337.5,NA,288,6,0,32,9,44,10,35,0,0,10,434,17151.960000000003,5130.76,2430.3599999999997,105840,38475,18225,25619.0642,158751.5625
325131,SS24,1,ECICO,MARCH,3,SS24,SS,24,AIR,AIR,CORE TECIDO,ARTESANAL,DRESSES,COTTON EYELET,100% COTTON,CHINA,48.5,45.589999999999996,60.2115,55.06079999999999,345,325,NA,336,1622,0,37,45,48,10,41,0,0,10,2149,117894.117,7708.511999999999,2808.1007999999993,675510,54600,19890,129582.14832,744499.375
318234,SS24,1,ECICO,MARCH,3,SS24,SS,24,AIR,AIR,CORE TECIDO,ARTESANAL,TOPS,POLYESTER GUIPUIRE,100% POLYESTER,CHINA,16.7,15.864999999999998,24.9448,20.2688,175,166.66666666666669,NA,384,754,0,42,59,34,0,47,18,0,0,1338,28387.182399999998,2736.288,1317.4719999999998,199150,27000,13000,32928.91376,236495.83333333334
327755,SS24,1,APRIL SOURCING,MARCH,3,SS24,SS,24,AIR,AIR,CORE TECIDO,ARTESANAL,TOPS,COTTON,100% COTTON,INDIA,32,30.08,42.168,38.073280000000004,295,279.1666666666667,NA,240,316,80,26,17,47,20,30,10,9,10,805,26818.847999999998,4188.0608,2246.3235200000004,187620,36850,19765,34051.819368,240654.68750000003
327756,SS24,1,APRIL SOURCING,MARCH,3,SS24,SS,24,AIR,AIR,CORE TECIDO,ARTESANAL,TOPS,COTTON,100% COTTON,INDIA,32,30.08,42.168,38.073280000000004,295,279.1666666666667,NA,240,85,100,26,20,22,0,30,18,5,0,546,17921.4,2588.98304,2017.8838400000004,125375,22780,17755,23163.5195568,163812.0625
322602,SS24,1,BE GLOBAL,MARCH,3,SS24,SS,24,AIR,DHL,NEWNESS,FARMLAB,OUTERWEAR,MEMORY NYLON,100% POLYESTER,CHINA,42,39.9,52.132,48.687999999999995,260,245.83333333333334,NA,259,0,0,28,0,0,0,32,0,0,0,319,13502.188,1363.264,1558.0159999999998,67340,8260,9440,16869.45008,84341.83333333334
322604,SS24,1,BE GLOBAL,MARCH,3,SS24,SS,24,AIR,DHL,NEWNESS,FARMLAB,BOTTOMS,MEMORY NYLON,100% POLYESTER,CHINA,31,29.45,40.444,35.484,215,204.16666666666669,NA,288,0,0,32,0,0,0,35,0,0,0,355,11647.872000000001,1135.488,1241.94,61920,7840,8575,14384.22066,77664.3125
319353,SS24,1,BE GLOBAL,MARCH,3,SS24,SS,24,AIR,DHL,CORE MENSWEAR,NA,PANTS,NYLON,100% POLYESTER,CHINA,20,19,25.92,24.28,160,150,NA,135,18,0,22,0,13,0,26,0,0,0,214,3965.76,849.8000000000001,631.28,24480,6300,4680,5648.3640000000005,34875
320314,SS24,1,BE GLOBAL,MARCH,3,SS24,SS,24,AIR,DHL,CORE MENSWEAR,NA,JACKET,NYLON,100% POLYESTER,CHINA,30,28.5,38.38,35.92,185,175,NA,135,24,0,22,0,16,0,26,0,0,0,223,6102.42,1364.96,933.9200000000001,29415,7980,5460,8706.9792,42104.25
327176,SS24,1,APRIL SOURCING,MARCH,3,SS24,SS,24,AIR,AIR,CORE TECIDO,ARTESANAL,BOTTOMS,COTTON FOREST,97% COTTON 3% SPANDEX,INDIA,50.9,47.846,61.6368,58.788436,350,329.1666666666667,NA,30,0,0,8,0,0,0,12,0,0,0,50,1849.104,470.307488,705.461232,10500,3160,4740,3216.5230213600003,18156.416666666668
327175,SS24,1,APRIL SOURCING,MARCH,3,SS24,SS,24,AIR,AIR,CORE TECIDO,ARTESANAL,TOPS,COTTON FOREST,97% COTTON 3% SPANDEX,INDIA,26.65,25.051,35.1196,31.709466,175,166.66666666666669,NA,30,0,0,8,0,0,0,12,0,0,0,50,1053.588,253.675728,380.513592,5250,1600,2400,1791.1501791599999,9126.666666666668
327177,SS24,1,APRIL SOURCING,MARCH,3,SS24,SS,24,AIR,AIR,CORE TECIDO,ARTESANAL,OUTERWEAR,COTTON FOREST,97% COTTON 3% SPANDEX,INDIA,64.1,60.25399999999999,78.6124,74.256164,395,370.83333333333337,NA,30,0,0,8,0,0,0,12,0,0,0,50,2358.372,594.049312,891.0739679999999,11850,3560,5340,4085.5703746400004,20475.583333333336
317975,SS24,1,GAIA,APRIL,4,SS24,SS,24,AIR,SEA,ESSENTIAL,TECIDO ESTAMPA,TOPS,VISCOSE SATIN,100% VISCOSE,TURKEY,20.4,19.176,28.8876,20.176,140,133.33333333333334,NA,767,231,120,84,46,185,44,94,0,72,10,1653,31594.336799999997,7243.183999999998,3550.9759999999997,156520,57440,28160,44396.489279999994,236484
317653,SS24,1,GAIA,APRIL,4,SS24,SS,24,AIR,SEA,CORE TECIDO,TECIDO ESTAMPA,DRESSES,JORGE COTTON,68%TENCEL  32% COTTON,TURKEY,58.5,54.989999999999995,71.86,55.989999999999995,295,279.1666666666667,NA,96,164,140,11,8,15,20,12,10,0,10,486,27832,3023.4599999999996,1791.6799999999998,118000,18090,10720,34173.9102,145073.58333333334
317657,SS24,1,GAIA,APRIL,4,SS24,SS,24,AIR,SEA,CORE TECIDO,TECIDO ESTAMPA,DRESSES,JORGE COTTON,68%TENCEL  32% COTTON,TURKEY,53.8,50.571999999999996,66.408,51.571999999999996,285,266.6666666666667,NA,480,524,80,53,0,50,23,59,0,70,11,1350,70174.272,6498.072,7220.079999999999,308940,40320,44800,87783.80704,390625.3333333333
318546,SS24,1,GAIA,APRIL,4,SS24,SS,24,AIR,SEA,CORE TECIDO,TECIDO ESTAMPA,DRESSES,JORGE COTTON,68%TENCEL  32% COTTON,TURKEY,47.3,44.461999999999996,58.367999999999995,45.461999999999996,220,208.33333333333334,NA,480,693,120,53,8,0,0,59,18,0,0,1431,73437.324,2773.182,3500.5739999999996,284460,15250,19250,82725.33189,317708.9583333334
318347,SS24,1,GAIA,APRIL,4,SS24,SS,24,AIR,SEA,CORE,CROCHET,SWEATER,KNIT,100% COTTON,TURKEY,44,41.36,54.26,47.3232,275,258.33333333333337,NA,240,70,0,26,19,14,0,30,0,0,0,399,16680.6,2792.0688,1419.696,85250,18290,9300,21547.241216,111052.33333333334
318683,SS24,1,GAIA,APRIL,4,SS24,SS,24,AIR,SEA,CORE TECIDO,3D,DRESSES,NEW 3D FLOWER TEXTURE,52% COTTON 48% POLYESTER,TURKEY,56.11,52.743399999999994,64.82324,53.743399999999994,345,325,NA,288,0,0,32,0,0,0,35,0,0,0,355,18669.093119999998,1719.7887999999998,1881.0189999999998,99360,12480,13650,22813.515411,124422.375
322677,SS24,1,GAIA,APRIL,4,SS24,SS,24,AIR,SEA,CORE TECIDO,TECIDO ESTAMPA,DRESSES,VISCOSE SATIN,100% VISCOSE,TURKEY,36.2,34.028,45.992000000000004,35.028,285,266.6666666666667,NA,767,1242,120,84,70,246,41,94,0,44,10,2718,93830.96800000001,15447.347999999998,5184.144,606765,141120,47360,120796.20676000002,780943.6666666666
317654,SS24,1,GAIA,APRIL,4,SS24,SS,24,AIR,SEA,CORE TECIDO,TECIDO ESTAMPA,DRESSES,MANDY COTTON,60% COTTON 40% VISCOSE,TURKEY,38.2,35.908,45.40880000000001,36.908,295,279.1666666666667,NA,336,118,120,37,45,45,10,41,0,0,10,762,25350.651200000004,5056.396000000001,1882.308,169330,45895,17085,33780.82222,227693.9791666667
317656,SS24,1,GAIA,APRIL,4,SS24,SS,24,AIR,SEA,CORE TECIDO,TECIDO ESTAMPA,DRESSES,SAMANTHA VISCOSE,100% VISCOSE,TURKEY,28,26.32,36.480000000000004,27.32,255,241.66666666666669,NA,480,6,0,53,17,46,0,59,0,0,0,661,17711.280000000002,3169.12,1611.88,123930,33640,17110,23094.791400000002,171392.12500000003
